,PMID,DOI,Title,Abstract,PubDate,AuthorsInfo,Journal,Language,KeywordList,SearchTerms
0,14709704,10.1093/jurban/jtg063,The built environment and mental health.,"The built environment has direct and indirect effects on mental health. High-rise housing is inimical to the psychological well-being of women with young children. Poor-quality housing appears to increase psychological distress, but methodological issues make it difficult to draw clear conclusions. Mental health of psychiatric patients has been linked to design elements that affect their ability to regulate social interaction (e.g., furniture configuration, privacy). Alzheimer's patients adjust better to small-scale, homier facilities that also have lower levels of stimulation. They are also better adjusted in buildings that accommodate physical wandering. Residential crowding (number of people per room) and loud exterior noise sources (e.g., airports) elevate psychological distress but do not produce serious mental illness. Malodorous air pollutants heighten negative affect, and some toxins (e.g., lead, solvents) cause behavioral disturbances (e.g., self-regulatory ability, aggression). Insufficient daylight is reliably associated with increased depressive symptoms. Indirectly, the physical environment may influence mental health by altering psychosocial processes with known mental health sequelae. Personal control, socially supportive relationships, and restoration from stress and fatigue are all affected by properties of the built environment. More prospective, longitudinal studies and, where feasible, randomized experiments are needed to examine the potential role of the physical environment in mental health. Even more challenging is the task of developing underlying models of how the built environment can affect mental health. It is also likely that some individuals may be more vulnerable to mental health impacts of the built environment. Because exposure to poor environmental conditions is not randomly distributed and tends to concentrate among the poor and ethnic minorities, we also need to focus more attention on the health implications of multiple environmental risk exposure.",12/NA/2003,"{'Evans, Gary W': ['Department of Design and Environmental Analysis and Human Development, Cornell University, Ithaca, NY 14853, USA. gwe1@cornell.edu']}",Journal of urban health : bulletin of the New York Academy of Medicine,eng,No keywords,['mental health']
1,37606227,10.1177/00048674231193881,"Trends in mental health inequalities for people with disability, Australia 2003 to 2020.","Cross-sectional studies have demonstrated that people with disability have substantial inequalities in mental health compared to people without disability. However, it is not known if these inequalities have changed over time. This study compared the mental health of people with and without disability annually from 2003 to 2020 to investigate time trends in disability-related mental health inequalities.",12/NA/2023,"{'Bishop, Glenda M': ['Disability and Health Unit, Centre for Health Equity, Melbourne School of Population and Global Health, The University of Melbourne, Melbourne, VIC, Australia.']}",The Australian and New Zealand journal of psychiatry,eng,"['Disability', 'health inequalities', 'mental health', 'time series']",['mental health']
2,37270877,10.1016/j.copsyc.2023.101579,"Minority stress theory: Application, critique, and continued relevance.","The minority stress model has been influential in guiding research on sexual and gender minority health and well-being in psychology and related social and health sciences. Minority stress has theoretical roots in psychology, sociology, public health, and social welfare. Meyer provided the first integrative articulation of minority stress in 2003 as an explanatory theory aimed at understanding the social, psychological, and structural factors accounting for mental health inequalities facing sexual minority populations. This article reviews developments in minority stress theory over the past two decades, focusing on critiques, applications, and reflections on its continued relevance in the context of rapidly changing social and policy contexts.",06/NA/2023,"{'Kavanagh, Anne Marie': ['Disability and Health Unit, Centre for Health Equity, Melbourne School of Population and Global Health, The University of Melbourne, Melbourne, VIC, Australia.']}",Current opinion in psychology,eng,"['Bisexual', 'Gay', 'Gender minority', 'Health', 'Lesbian', 'Sexual minority', 'Stress', 'Transgender', 'Well-being']",['mental health']
3,12900295,10.1176/appi.ajp.160.8.1373,Mental health.,Only in the last 30 years has psychiatry begun to develop empirical approaches to conceptualizing and assessing positive mental health. Six models of mental health are reviewed here.,08/NA/2003,"{'Disney, George': ['Disability and Health Unit, Centre for Health Equity, Melbourne School of Population and Global Health, The University of Melbourne, Melbourne, VIC, Australia.']}",The American journal of psychiatry,eng,No keywords,['mental health']
4,26139699,10.1177/1039856215592317,A decade of peace: Mental health issues and service developments in the Solomon Islands since 2003.,"To describe the impact on mental health and psychosocial wellbeing of the armed conflict that occurred in the Solomon Islands from 1998-2003 and the subsequent political unrest and natural disasters, and the developments in mental health services since 2003.",12/NA/2015,"{'Aitken, Zoe': ['Disability and Health Unit, Centre for Health Equity, Melbourne School of Population and Global Health, The University of Melbourne, Melbourne, VIC, Australia.']}",Australasian psychiatry : bulletin of Royal Australian and New Zealand College of Psychiatrists,eng,"['Solomon Islands', 'conflict', 'disaster', 'mental health', 'mental health services']",['mental health']
5,24259638,10.1177/1060028013510699,"A review of the pathophysiology, etiology, and treatment of attention-deficit hyperactivity disorder (ADHD).","To review the pathophysiology, etiology, and treatment of attention-deficit hyperactivity disorder (ADHD).",02/NA/2014,"{'Frost, David M': ['University College London, United Kingdom. Electronic address: d.frost@ucl.ac.uk.']}",The Annals of pharmacotherapy,eng,"['ADHD', 'amphetamine', 'atomoxetine', 'attention-deficit hyperactivity disorder', 'bupropion', 'clonidine', 'dopamine', 'etiology', 'guanfacine', 'methylphenidate', 'norepinephrine', 'pathophysiology', 'prefrontal cortex', 'treatment', 'treatment guidelines', 'tricyclic antidepressants']",['ADHD']
6,15689731,10.1097/00004583-200502000-00010,"Computerized training of working memory in children with ADHD--a randomized, controlled trial.","Deficits in executive functioning, including working memory (WM) deficits, have been suggested to be important in attention-deficit/hyperactivity disorder (ADHD). During 2002 to 2003, the authors conducted a multicenter, randomized, controlled, double-blind trial to investigate the effect of improving WM by computerized, systematic practice of WM tasks.",02/NA/2005,"{'Meyer, Ilan H': ['University of California, Los Angeles, United States.']}",Journal of the American Academy of Child and Adolescent Psychiatry,eng,No keywords,['ADHD']
7,34501798,10.3390/ijerph18179208,Incidence of Attention Deficit Hyperactivity Disorder (ADHD) Diagnoses in Navarre (Spain) from 2003 to 2019.,"(1) Background: Attention deficit hyperactivity disorder (ADHD) constitutes one of the leading mental health and behavioral disorders in childhood and adolescence. The main objective of this study was to analyze the time trend in the incidence of ADHD diagnoses in Navarre (Spain) from 2003 to 2019 in children and adolescents from 5 to 19 years old. Additionally, the seasonal trends of ADHD incidence and ADHD prevalence were determined. (2) Methods: A population-based observational retrospective study, which included people born between 1991 and 2011 and who attended compulsory education between 2007 and 2017 in Navarre (Spain), was carried out with data from both the Education and Health Department databases. (3) Results: The incidence rate increased from 4.18 cases per 1000 person-years in 2003 to 7.43 cases per 1000 person-years in 2009, before decreasing progressively to 2.1 cases per 1000 person-years in 2019. A peak incidence rate at 7-8 years of age was observed, which is consistent across the study period and for both genders. Males were more than twice as likely to be diagnosed with ADHD than females, with similar time trends in both. A seasonal pattern in ADHD diagnosis was found, with peaks in February-March and the lowest rates in the summer months. Inattentive cases were much more frequent than hyperactive cases, whereas combined cases remained low across the study period. (4) Conclusions: In this age-period-cohort analysis, a clear period and age effect was observed. We found a decreasing trend in the ADHD incidence rate since 2015. Further research is needed to confirm whether a change of trend is occurring globally.",08/31/2021,"{'Vaillant, George E': [""Department of Psychiatry, Brigham and Women's Hospital, Boston, MA 02115, USA. gvaillant@partners.org""]}",International journal of environmental research and public health,eng,"['attention deficit hyperactivity disorder', 'behavior disorder', 'hyperactivity', 'inattention']",['ADHD']
8,12809746,10.1016/s0094-730x(03)00021-4,ADHD and stuttering: a tutorial.,"The purpose of this tutorial is twofold. The first is to provide a brief description of some of the key diagnostic features of attention deficit hyperactivity disorder (ADHD) for speech-language pathologists who might not be knowledgeable about this disorder. The second purpose is to provide information and suggestions about treating children who stutter and who have been diagnosed with ADHD. Specific information is provided regarding medication used to treat ADHD symptoms as well as the minimal documented evidence of its impact on stuttering. Suggestions for educational, behavioral, and cognitive management of children who stutter and have ADHD also are discussed.",NA/NA/2003,"{'Maukera, Rex': ['Postgraduate student in psychiatry, School of Medicine & Health Sciences, University of Papua New Guinea, Port Moresby, Papua New Guinea.']}",Journal of fluency disorders,eng,No keywords,['ADHD']
9,26761486,10.4088/JCP.14m09364,"Racial and ethnic disparities in parent-reported diagnosis of ADHD: National Survey of Children's Health (2003, 2007, and 2011).","Attention-deficit/hyperactivity disorder (ADHD) is the most commonly diagnosed mental disorder among children in the United States. While overall ADHD prevalence continues to rise, few have examined difference by race/ethnicity.",01/NA/2016,"{'Blignault, Ilse': ['Visiting Fellow, School of Public Health & Community Medicine, UNSW Australia, Randwick, NSW, Australia i.blignault@unsw.edu.au.']}",The Journal of clinical psychiatry,eng,No keywords,['ADHD']
